Format = Name, Patch, Type, Ra, Dec, I, Q, U, V, SpectralIndex, LogarithmicSI, ReferenceFrequency='150.e6', MajorAxis, MinorAxis, Orientation

, cluster1, POINT, , , , , , , , , , , ,
GLEAM J004441-353029, cluster1, POINT, 00:44:41.384, -35.30.29.279, 7.3662166595459, 0, 0, 0, [-0.537548840045929, 0], true, 200000000, , ,
GLEAM J003600-302312, cluster1, GAUSSIAN, 00:36:00.645, -30.23.12.943, 1.84812617301941, 0, 0, 0, [-1.24955189228058, 0], true, 200000000, 184.791702270508, 138.338195800781, -61.3510704040527
GLEAM J002718-334647, cluster1, POINT, 00:27:18.696, -33.46.47.996, 1.67223823070526, 0, 0, 0, [-0.836064755916595, 0], true, 200000000, , ,
GLEAM J010316-322550, cluster1, POINT, 01:03:16.846, -32.25.50.322, 3.24487733840942, 0, 0, 0, [-0.33874186873436, 0], true, 200000000, , ,
GLEAM J010925-344712, cluster1, POINT, 01:09:25.739, -34.47.12.152, 3.96611046791077, 0, 0, 0, [-0.650445342063904, 0], true, 200000000, , ,
GLEAM J004011-314407, cluster1, POINT, 00:40:11.719, -31.44.07.3, 1.08274233341217, 0, 0, 0, [-0.552071392536163, 0], true, 200000000, , ,
GLEAM J005807-374939, cluster1, POINT, 00:58:07.483, -37.49.39.643, 2.82883954048157, 0, 0, 0, [-0.976177632808685, 0], true, 200000000, , ,
GLEAM J003238-325311, cluster1, POINT, 00:32:38.467, -32.53.11.295, 0.977127254009247, 0, 0, 0, [-0.516506493091583, 0], true, 200000000, , ,
GLEAM J004230-343729, cluster1, POINT, 00:42:30.499, -34.37.29.492, 1.15516710281372, 0, 0, 0, [-0.900169909000397, 0], true, 200000000, , ,
GLEAM J011304-340307, cluster1, POINT, 01:13:04.75, -34.03.07.825, 2.52575969696045, 0, 0, 0, [-0.801472127437592, 0], true, 200000000, , ,
GLEAM J011412-321730, cluster1, POINT, 01:14:12.355, -32.17.30.76, 2.15047430992126, 0, 0, 0, [-0.865258932113647, 0], true, 200000000, , ,
GLEAM J004235-300010, cluster1, POINT, 00:42:35.723, -30.00.10.492, 0.667217433452606, 0, 0, 0, [-0.857808768749237, 0], true, 200000000, , ,
GLEAM J002530-330336, cluster1, GAUSSIAN, 00:25:30.596, -33.03.36.183, 6.87203502655029, 0, 0, 0, [-0.862545788288116, 0], true, 200000000, 169.007064819336, 137.238800048828, 30.00124168396
FornaxA-comp1, cluster1, GAUSSIAN, 03:21:31.992, -37.08.49.926, 402.429992675781, 0, 0, 0, [-0.800000011920929, 0], true, 200000000, 1092.59997558594, 936.599975585938, 2.70000004768372
GLEAM J003629-372745, cluster1, POINT, 00:36:29.308, -37.27.45.074, 3.33075833320618, 0, 0, 0, [-0.91014838218689, 0], true, 200000000, , ,
GLEAM J003130-325944, cluster1, POINT, 00:31:30.536, -32.59.44.18, 1.91824352741241, 0, 0, 0, [-0.643269717693329, 0], true, 200000000, , ,
GLEAM J010509-381101, cluster1, POINT, 01:05:09.255, -38.11.01.418, 5.3197808265686, 0, 0, 0, [-0.825474619865417, 0], true, 200000000, , ,
FornaxA-comp2, cluster1, GAUSSIAN, 03:23:57.0, -37.16.39.001, 237.479995727539, 0, 0, 0, [-0.800000011920929, 0], true, 200000000, 1012.59997558594, 972.900024414063, -77.6999969482422
GLEAM J013411-362913, cluster1, GAUSSIAN, 01:34:11.673, -36.29.13.761, 15.1769189834595, 0, 0, 0, [-0.72441428899765, 0], true, 200000000, 228.105209350586, 204.885726928711, 24.2137851715088
GLEAM J003152-311437, cluster1, POINT, 00:31:52.787, -31.14.37.869, 1.14222395420074, 0, 0, 0, [-0.334387749433517, 0], true, 200000000, , ,
GLEAM J002359-325757, cluster1, POINT, 00:23:59.143, -32.57.57.448, 1.08551919460297, 0, 0, 0, [-0.817995846271515, 0], true, 200000000, , ,
GLEAM J004839-294718, cluster1, POINT, 00:48:39.08, -29.47.18.215, 1.44333124160767, 0, 0, 0, [-0.148738071322441, 0], true, 200000000, , ,
GLEAM J003103-354715, cluster1, POINT, 00:31:03.534, -35.47.15.695, 1.50543224811554, 0, 0, 0, [-0.79219001531601, 0], true, 200000000, , ,
GLEAM J003728-334439, cluster1, POINT, 00:37:28.736, -33.44.39.648, 1.20455849170685, 0, 0, 0, [-0.792523622512817, 0], true, 200000000, , ,
GLEAM J003928-332235, cluster1, POINT, 00:39:28.239, -33.22.35.136, 1.15601003170013, 0, 0, 0, [-0.955226480960846, 0], true, 200000000, , ,
GLEAM J012202-373112, cluster1, GAUSSIAN, 01:22:02.693, -37.31.12.496, 6.6391019821167, 0, 0, 0, [-0.941189885139465, 0], true, 200000000, 176.605041503906, 133.001739501953, 18.1647167205811
GLEAM J010439-331451, cluster1, POINT, 01:04:39.44, -33.14.51.664, 2.0415632724762, 0, 0, 0, [-0.880779981613159, 0], true, 200000000, , ,
GLEAM J004420-315659, cluster1, POINT, 00:44:20.183, -31.56.59.131, 1.05381071567535, 0, 0, 0, [-0.936438977718353, 0], true, 200000000, , ,
GLEAM J013332-362850, cluster1, GAUSSIAN, 01:33:32.338, -36.28.50.003, 11.1926689147949, 0, 0, 0, [-0.700440764427185, 0], true, 200000000, 298.485992431641, 211.324111938477, -71.4230194091797
GLEAM J005037-295749, cluster1, POINT, 00:50:37.079, -29.57.49.771, 1.08974409103394, 0, 0, 0, [-0.789685010910034, 0], true, 200000000, , ,
GLEAM J003259-334512, cluster1, POINT, 00:32:59.37, -33.45.12.95, 1.0397686958313, 0, 0, 0, [-0.555805087089539, 0], true, 200000000, , ,
GLEAM J002808-323846, cluster1, POINT, 00:28:08.916, -32.38.46.918, 0.872647702693939, 0, 0, 0, [-0.612590134143829, 0], true, 200000000, , ,
GLEAM J003758-340627, cluster1, POINT, 00:37:58.413, -34.06.27.611, 1.03253054618835, 0, 0, 0, [-1.06656777858734, 0], true, 200000000, , ,
GLEAM J003605-332824, cluster1, POINT, 00:36:05.033, -33.28.24.446, 0.935355544090271, 0, 0, 0, [-0.929608047008514, 0], true, 200000000, , ,
GLEAM J005659-380954, cluster1, POINT, 00:56:59.458, -38.09.54.223, 2.65577816963196, 0, 0, 0, [-0.657290816307068, 0], true, 200000000, , ,
GLEAM J011437-330205, cluster1, POINT, 01:14:37.065, -33.02.05.381, 2.56359028816223, 0, 0, 0, [-0.86875581741333, 0], true, 200000000, , ,
GLEAM J005202-355608, cluster1, POINT, 00:52:02.643, -35.56.08.82, 1.53787231445312, 0, 0, 0, [-0.901643097400665, 0], true, 200000000, , ,
GLEAM J005537-305649, cluster1, POINT, 00:55:37.496, -30.56.49.174, 1.10732352733612, 0, 0, 0, [-0.779733538627625, 0], true, 200000000, , ,
GLEAM J002506-342644, cluster1, POINT, 00:25:06.419, -34.26.44.471, 0.809375405311584, 0, 0, 0, [-0.900743782520294, 0], true, 200000000, , ,
GLEAM J004017-325437, cluster1, POINT, 00:40:17.259, -32.54.37.414, 0.829611599445343, 0, 0, 0, [-0.883509159088135, 0], true, 200000000, , ,
GLEAM J003021-331433, cluster1, GAUSSIAN, 00:30:21.954, -33.14.33.235, 0.756666541099548, 0, 0, 0, [-0.60322642326355, 0], true, 200000000, 206.134170532227, 145.495147705078, 34.3130531311035
GLEAM J010405-340350, cluster1, POINT, 01:04:05.571, -34.03.50.466, 1.57604837417603, 0, 0, 0, [-1.0386164188385, 0], true, 200000000, , ,
GLEAM J012123-300754, cluster1, POINT, 01:21:23.362, -30.07.54.85, 2.80961203575134, 0, 0, 0, [-0.761226952075958, 0], true, 200000000, , ,
GLEAM J005509-361735, cluster1, POINT, 00:55:09.708, -36.17.35.168, 1.47407352924347, 0, 0, 0, [-0.970206379890442, 0], true, 200000000, , ,
GLEAM J003847-303441, cluster1, POINT, 00:38:47.924, -30.34.41.985, 0.649100363254547, 0, 0, 0, [-0.751214981079102, 0], true, 200000000, , ,
GLEAM J004616-420739, cluster1, GAUSSIAN, 00:46:16.09, -42.07.39.311, 24.9941997528076, 0, 0, 0, [-0.72147524356842, 0], true, 200000000, 173.885848999023, 136.529235839844, -70.4164047241211
GLEAM J003826-385949, cluster1, POINT, 00:38:26.827, -38.59.49.384, 8.77406215667725, 0, 0, 0, [-0.903118491172791, 0], true, 200000000, , ,
GLEAM J002654-365535, cluster1, POINT, 00:26:54.736, -36.55.35.806, 3.3813042640686, 0, 0, 0, [-0.767395734786987, 0], true, 200000000, , ,
GLEAM J004209-441404, cluster1, POINT, 00:42:09.22, -44.14.04.629, 15.0644330978394, 0, 0, 0, [-0.688620269298553, 0], true, 200000000, , ,
GLEAM J005214-430628, cluster1, POINT, 00:52:14.684, -43.06.28.916, 11.6111278533936, 0, 0, 0, [-0.769092202186584, 0], true, 200000000, , ,
GLEAM J003257-371954, cluster1, POINT, 00:32:57.056, -37.19.54.859, 1.90046203136444, 0, 0, 0, [-0.800266861915588, 0], true, 200000000, , ,
GLEAM J002620-353519, cluster1, POINT, 00:26:20.619, -35.35.19.139, 1.07784676551819, 0, 0, 0, [-0.847883224487305, 0], true, 200000000, , ,
GLEAM J003445-372351, cluster1, POINT, 00:34:45.781, -37.23.51.161, 1.16103529930115, 0, 0, 0, [-1.03668260574341, 0], true, 200000000, , ,
GLEAM J002727-391528, cluster1, POINT, 00:27:27.133, -39.15.28.441, 2.06853890419006, 0, 0, 0, [-1.37994515895844, 0], true, 200000000, , ,
GLEAM J002851-415736, cluster1, POINT, 00:28:51.193, -41.57.36.848, 2.77881765365601, 0, 0, 0, [-0.942645788192749, 0], true, 200000000, , ,
GLEAM J010837-285124, cluster1, POINT, 01:08:37.967, -28.51.24.879, 4.7353458404541, 0, 0, 0, [-0.0311858933418989, 0], true, 200000000, , ,
GLEAM J011539-281707, cluster1, POINT, 01:15:39.547, -28.17.07.84, 2.54377484321594, 0, 0, 0, [-0.663814961910248, 0], true, 200000000, , ,
GLEAM J004444-295333, cluster1, POINT, 00:44:44.889, -29.53.33.343, 0.777748584747314, 0, 0, 0, [-0.871381759643555, 0], true, 200000000, , ,
GLEAM J005908-285952, cluster1, POINT, 00:59:08.168, -28.59.52.55, 1.53259456157684, 0, 0, 0, [-0.76394921541214, 0], true, 200000000, , ,
, cluster2, POINT, , , , , , , , , , , ,
GLEAM J235701-344532, cluster2, POINT, 23:57:01.201, -34.45.32.3, 16.3266334533691, 0, 0, 0, [-1.12013328075409, 0], true, 200000000, , ,
